APIs,TN,FN,FP,TP,Precision,Recall,F1 Score
CONVERT_TEXT_TO_SPEECH,0.0,0.0,15.0,0.0,0.0,0.0,0.0
CREATE_CALENDAR_EVENT,0.0,1.0,19.0,0.0,0.0,0.0,0.0
CREATE_REMINDER,0.0,0.0,20.0,0.0,0.0,0.0,0.0
GENERATE_IMAGE,0.0,4.0,16.0,0.0,0.0,0.0,0.0
GET_CALENDAR_EVENTS,0.0,2.0,18.0,0.0,0.0,0.0,0.0
GET_CURRENT_DATE_AND_TIME,0.0,6.0,1.0,13.0,0.93,0.68,0.79
GET_CURRENT_STOCK_PRICE,0.0,2.0,11.0,6.0,0.35,0.75,0.48
GET_NEWS,1.0,8.0,11.0,0.0,0.0,0.0,0.0
GET_WEATHER,0.0,0.0,19.0,0.0,0.0,0.0,0.0
NOT_AVAILABLE,108.0,0.0,12.0,0.0,0.0,0.0,0.0
send_email,0.0,0.0,20.0,0.0,0.0,0.0,0.0
Cumulative,109.0,23.0,162.0,19.0,0.1,0.45,0.17
